Codes;Kurztitel 2008 (max. 40 Zeichen inkl. Leerstellen)
2620;H.v. Datenverarb.- u. peripheren Ge.
262000;H.v. Datenverarb.- u. peripheren Ge.
263;H.v. Ge. der Telekommunikationstechn.
2630;H.v. Ge. der Telekommunikationstechn.
263000;H.v. Ge. der Telekommunikationstechn.
264;H.v. Ge. der Unterhaltungsel.
2640;H.v. Ge. der Unterhaltungsel.
264000;H.v. Ge. der Unterhaltungsel.
265;H.v. Mess-, Kontroll- u.ä. Instr.
2651;H.v. Mess-, Kontroll- u.ä. Instr.
265100;H.v. Mess-, Kontroll- u.ä. Instr.
2652;H.v. Uhren
265201;H.u. Zusammens. v. Uhren
265202;H.u. Zusammens. v. Grossuhren
265203;H.u. Zusammens. v. Uhrw.
265204;H.der Ausstattung v. Uhren
265205;H.anderer Uhrenbestandt.
266;H.v. Bestrahlungs-, elektromed. Ge.
2660;H.v. Bestrahlungs-, elektromed. Ge.
266000;H.v. Bestrahlungs-, elektromed. Ge.
267;H.v. optischen u. fotografischen Instr.
2670;H.v. optischen u. fotografischen Instr.
267000;H.v. optischen u. fotografischen Instr.
268;H.v. magnet. u. optischen Datenträgern
2680;H.v. magnet. u. optischen Datenträgern
268000;H.v. magnet. u. optischen Datenträgern
27;H.v. el. Ausrüst.
271;H.v. Elektromotoren, Generatoren usw.
2711;H.v. Elektromotoren, Generatoren usw.
271100;H.v. Elektromotoren, Generatoren usw.
2712;H.v. El.-verteilungs u. -schalteinrich.
271200;H.v. El.-verteilungs u. -schalteinrich.
272;H.v. Batterien u. Akkumulatoren
2720;H.v. Batterien u. Akkumulatoren
272000;H.v. Batterien u. Akkumulatoren
273;H.v. Kabeln u. el. Installationsmat.
2731;H.v. Glasfaserkabeln
273100;H.v. Glasfaserkabeln
2732;H.v. sonst. elektron. Drähten u. Kabeln
273200;H.v. sonst. elektron. Drähten u. Kabeln
2733;H.v. el. Installationsmat.
273300;H.v. el. Installationsmat.
274;H.v. el. Lampen u. Leuchten
2740;H.v. el. Lampen u. Leuchten
274000;H.v. el. Lampen u. Leuchten
275;H.v. Haushaltge.
2751;H.v. el. Haushaltsge.
275100;H.v. el. Haushaltsge.
2752;H.v. n. el. Haushaltsge.
275200;H.v. n. el. Haushaltsge.
279;H.v. sonst. el. Ausrüst. u. Ge. a.n.g.
2790;H.v. sonst. el. Ausrüst. u. Ge. a.n.g.
279000;H.v. sonst. el. Ausrüst. u. Ge. a.n.g.
28;Maschinenbau
281;H.v. n. wirtschaftsspez. Masch.
2811;H.v. Verbrennungsmotoren u. Turbinen
281100;H.v. Verbrennungsmotoren u. Turbinen
2812;H.v. hyd. u. pneu. Systemen, Komponenten
281200;H.v. hyd. u. pneu. Systemen, Komponenten
2813;H.v. Pumpen u. Kompressoren a.n.g.
281300;H.v. Pumpen u. Kompressoren a.n.g.
2814;H.v. Armaturen a.n.g.
281400;H.v. Armaturen a.n.g.
2815;H.v. Lagern, Getrieben u. Antriebselem.
281500;H.v. Lagern, Getrieben u. Antriebselem.
282;H.v. sonst. n. wirtschaftsspez. Masch.
2821;H.v. Öfen u. Brennern
282100;H.v. Öfen u. Brennern
2822;H.v. Hebezeugen u. Förderm.
282200;H.v. Hebezeugen u. Förderm.
2823;H.v. Büromasch.
282300;H.v. Büromasch.
2824;H.v. handgeführten Werk. m. Motorantrieb
282400;H.v. handgeführten Werk. m. Motorantrieb
2825;H.v. kälte- u. lufttechn. Erzeugnissen
282500;H.v. kälte- u. lufttechn. Erzeugnissen
2829;H.v. n. wirtschaftsspez. Masch. a.n.g.
282900;H.v. n. wirtschaftsspez. Masch. a.n.g.
283;H.v. land- u. forstw. Masch.
2830;H.v. land- u. forstw. Masch.
283000;H.v. land- u. forstw. Masch.
284;H.v. Werkzeugmasch.
2841;H.v. Werkzeugmasch.f. die Metallbearb.
284100;H.v. Werkzeugmasch.f. die Metallbearb.
2849;H.v. sonst. Werkzeugmasch.
284900;H.v. sonst. Werkzeugmasch.
289;H.v. Masch. f. best. Wirtschaftszweige
2891;H.v. Masch. f. die Metallerz.
289100;H.v. Masch. f. die Metallerz.
2892;H.v. Bergw.-, Bau- u. Baustoffmasch.
289200;H.v. Bergw.-, Bau- u. Baustoffmasch.
2893;H.v. Masch. f. die Nahrungsmittelerz.
289300;H.v. Masch. f. die Nahrungsmittelerz.
2894;H.v. Masch. f. die Text.-, Bekleidungsh.
289400;H.v. Masch. f. die Text.-, Bekleidungsh.
2895;H.v. Masch. f. die Papiererz., -verarb.
289500;H.v. Masch. f. die Papiererz., -verarb.
2896;H.v. Masch. f. die Verarb. v. Kunstst.
289600;H.v. Masch. f. die Verarb. v. Kunstst.
2899;H.v. Masch. f. best. Wirtschaftszweige
289901;H.v. Masch. f. die H.v. Druckerz.
289902;Sonst. H.v. Masch.
29;H.v. Automobilen u. Automobilt.
291;H.v. Automobilen u. Automobilmotoren
2910;H.v. Automobilen u. Automobilmotoren
291000;H.v. Automobilen u. Automobilmotoren
292;H.v. Karosserien, Aufbauten u. Anhängern
2920;H.v. Karosserien, Aufbauten u. Anhängern
292000;H.v. Karosserien, Aufbauten u. Anhängern
293;H.v. T. u. Zub. f. Automobile
2931;H.elektron. Ausrüstungsgegenst. f. Auto
293100;H.elektron. Ausrüstungsgegenst. f. Auto
2932;H.v. sonst. T. u. Zub. f. Automobile
